Player,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live
Lionel Messi\Lionel-Messi,90,79,0,3,50,35,6,70
Ansu Fati\Ansu-Fati,60,38,0,4,17,23,5,37
Pedri\Pedri,30,15,1,2,8,8,0,15
Antoine Griezmann\Antoine-Griezmann,60,19,0,4,6,9,2,19
Francisco Trincão\Francisco-Trincao,30,24,0,2,14,10,4,24
Philippe Coutinho\Philippe-Coutinho,74,46,1,3,31,15,1,43
Miralem Pjanić\Miralem-Pjanic,16,20,0,8,7,7,0,19
Frenkie de Jong\Frenkie-de-Jong,90,64,2,12,37,16,2,64
Sergio Busquets\Sergio-Busquets,90,91,1,16,55,21,2,87
Jordi Alba\Jordi-Alba,74,59,2,23,27,16,0,54
Sergiño Dest\Sergino-Dest,16,16,0,6,5,5,1,14
Gerard Piqué\Gerard-Pique,90,79,16,45,40,0,0,75
Ronald Araújo\Ronald-Araujo,90,67,12,34,36,0,0,65
Sergi Roberto\Sergi-Roberto,90,93,3,33,39,24,3,82
Neto\Neto,90,48,43,48,0,0,0,35
15 Players,990,758,81,243,372,189,26,703