Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Max Aarons\774cf58b,eng ENG,DF,Norwich City,21,2000,32,2.16,1.16,1.16,0.66,3.53,7.97,4.38,1.22,2.69,1.75,3.91,2.19,0
Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25,1996,22.7,0.7,0.4,0.09,0.57,3.83,1.67,5.81,7.14,1.1,0.44,1.15,0.66,0
Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20,2001,20.3,3.74,2.12,1.38,0.84,6.65,11.4,5.71,2.71,1.67,1.87,5.62,1.58,0.05
Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23,1998,22.2,1.8,0.99,0.9,0.72,3.29,4.82,3.15,1.31,1.62,2.21,4.01,3.65,0.05
Nathan Aké\eaeca114,nl NED,DF,Manchester City,26,1995,10.3,1.46,0.49,0.39,0.29,2.23,2.52,3.59,0.68,1.17,1.75,3.2,3.01,0
Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,31,1989,12.6,2.62,1.27,0.79,2.46,5,7.78,11.2,3.97,2.14,1.98,4.6,0.79,0
Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30,1991,17,3.41,2.35,0.71,1.65,6.88,5.06,9.59,4.12,1.53,2.06,5.47,1.06,0.12
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,22,1998,31.7,1.39,0.76,0.73,1.14,3.06,3.6,2.78,2.71,1.23,2.4,3.79,1.36,0.03
Alisson\7a2e46a8,br BRA,GK,Liverpool,28,1992,36,0,0,0,0.06,0.08,0.17,0,0,0.03,0,0,0.03,0.06
Allan\cc700722,br BRA,MF,Everton,30,1991,24.3,3.17,2.51,1.07,2.55,8.4,10.7,13.5,2.51,1.89,1.73,4.9,1.65,0
Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25,1996,7.3,2.6,0.96,0.68,1.64,7.53,11.1,12.6,4.93,3.42,2.33,4.93,1.64,0
Dele Alli\cea4ee8f,eng ENG,MF,Everton,25,1996,3.8,3.95,2.63,1.32,1.84,8.95,9.21,16.3,7.89,2.37,2.63,6.58,1.84,0
Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,27,1994,19.1,2.98,1.73,0.68,1.78,5.71,6.65,8.69,7.28,1.15,1.31,4.29,0.63,0
Marcos Alonso\f4290206,es ESP,DF,Chelsea,30,1990,24.1,1.87,1.16,0.58,0.75,3.53,5.02,4.19,3.24,1.62,2.74,4.61,2.28,0
Steven Alzate\ad1f61f3,co COL,MF,Brighton,22,1998,4.5,2,1.78,0.67,0.44,4.44,6.67,8.22,2.67,1.11,3.11,5.11,2.22,0
Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,26,1994,23.6,1.06,0.51,0.68,0.68,2.29,4.11,2.84,0.34,2.03,1.27,2.33,4.66,0.08
Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25,1996,32.4,1.11,0.71,0.43,0.43,1.79,2.93,1.7,0.22,1.27,1.85,2.96,4.81,0.06
Michail Antonio\ac05f970,jm JAM,FW,West Ham,31,1990,33,0.85,0.7,0.18,0.42,4.03,1.03,5.03,7.88,0.79,0.42,1.27,0.52,0
Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,0,0,0,6.67,6.67,0,3.33,3.33,3.33,0
Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Armstrong\68c720b5,eng ENG,FW,Southampton,24,1997,15.7,0.64,0.45,0,0.38,4.08,1.34,5.67,8.22,0.64,0.57,1.21,0.38,0
Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29,1992,16.4,1.59,0.91,0.43,1.34,5.18,4.63,7.32,4.27,1.04,0.85,2.44,0.91,0
Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby\b391383a,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,0,10,10,10,0,0
Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32,1989,11.5,1.04,0.61,0.17,0.35,4.61,2,6.78,8.7,1.65,0.09,1.13,0.26,0
Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,29,1991,22.4,2.32,1.52,0.49,0.49,6.52,5.4,10.1,7.46,1.65,1.25,3.57,0.4,0
Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,29,1991,25.2,3.13,1.79,1.94,2.06,5.44,8.53,5.44,1.59,1.94,2.14,5.28,2.7,0.04
César Azpilicueta\53cad200,es ESP,DF,Chelsea,31,1989,23,2.35,1.35,0.91,0.96,4.52,6.22,6.87,2.39,2.7,1.61,3.96,3.09,0.04
Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,23,1997,8.5,2.24,1.41,0.47,1.06,5.65,2.82,6.94,7.29,1.53,0.35,2.59,0.35,0
Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27,1994,2.4,3.33,1.25,0.42,0.42,3.75,5.83,2.5,0.42,2.08,3.33,6.67,4.17,0
Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,6.25,2.5,2.5,21.3,1.25,0,0,1.25,0
Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,27,1993,6.2,0.48,0.32,0.16,0.48,6.13,0.65,7.58,9.68,0.97,0.48,0.97,1.29,0
Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23,1998,10.1,0.69,0.4,0.3,0.99,6.73,6.14,9.31,4.75,1.49,2.08,2.77,1.09,0
Ross Barkley\3a24769f,eng ENG,MF,Chelsea,27,1993,2,0.5,0.5,0,0.5,1.5,0.5,5,3.5,0.5,1,1.5,0,0
Ashley Barnes\2691c772,eng ENG,FW,Burnley,31,1989,9,1.44,1.11,0.22,0.44,3.89,1.78,9.33,6.33,0.67,0.67,2.11,0.44,0
Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,23,1997,23.3,1.33,0.56,0.21,0.86,3.82,3.13,5.06,4.46,1.12,0.43,1.76,0.26,0
Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,18,2002,1.6,0.63,0,0,3.75,6.25,13.1,30,2.5,1.25,3.13,3.75,1.25,0
Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,22,1999,9.3,1.29,0.75,0.54,0.11,3.12,4.84,2.37,0.65,1.08,0.97,2.26,3.01,0
Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25,1996,29.2,1.27,0.72,0.62,0.65,2.6,4.45,3.49,0.21,2.19,3.25,4.52,5.79,0
Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24,1997,0.8,6.25,3.75,1.25,0,7.5,6.25,7.5,6.25,2.5,2.5,8.75,2.5,0
Donny van de Beek\50dc94ce,nl NED,MF,Everton,24,1997,5.4,2.78,1.67,1.11,1.67,4.81,5,9.63,3.89,1.3,1.67,4.44,0.93,0
Asmir Begović\7b4de647,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0.67,0
Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,25,1995,24.1,1.45,0.95,0.66,0.91,3.9,4.48,7.76,3.4,0.91,0.5,1.95,0.29,0
Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24,1997,15.1,2.45,0.99,0.79,1.39,5.23,7.48,11.6,2.58,2.12,1.19,3.64,1.85,0
Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,30,1990,12.7,0.63,0.16,0.16,0.31,2.52,0.71,3.94,4.8,0.63,0.08,0.71,2.36,0.08
Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,30,1990,12.2,1.56,0.74,0.74,0.9,3.61,4.02,5.66,4.26,1.48,1.39,2.95,1.72,0
Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,23,1997,6.3,0.79,0.63,0.16,0.95,2.54,2.38,5.4,5.56,0.63,0.63,1.43,1.43,0
Ryan Bertrand\01226327,eng ENG,DF,Leicester City,31,1989,3.7,2.43,1.08,1.08,0.27,6.76,10.8,6.49,2.97,2.97,0.81,3.24,1.89,0
Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20,2001,0.5,8,4,0,4,16,24,14,0,2,2,10,4,0
Yves Bissouma\6c203af0,ml MLI,MF,Brighton,24,1996,23.5,3.11,2.13,0.77,0.64,6.34,7.06,8.55,2.04,1.83,2.34,5.45,2.17,0
Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,30,1991,10,2.7,2.2,0.8,0.7,4.3,6.4,4.3,0.3,2.1,1.9,4.6,3.9,0
Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,24,1996,33.1,1.18,0.79,0.45,0.88,3.6,4.89,7.25,4.74,1.42,1.15,2.33,0.24,0
Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19,2002,4.3,0.7,0.47,0.23,1.4,3.72,6.74,2.79,0,1.63,1.86,2.56,3.72,0
Armando Broja\97220da2,al ALB,FW,Southampton,19,2001,21.9,0.78,0.55,0.09,0.55,5.11,1.69,6.07,9.41,1,0.59,1.37,0.37,0
Josh Brownhill\47369df8,eng ENG,MF,Burnley,25,1995,32.8,2.23,1.25,0.46,0.95,5.12,5.12,8.26,3.08,1.55,2.41,4.63,1.49,0
Lewis Brunt\a2081c6b,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,10,6.67,3.33,0,0,0,0
Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,20,2001,1,4,3,3,3,12,10,6,22,2,0,4,0,0
Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,24,1996,21.1,2.46,1.47,0.71,1.37,5.12,5.31,9.72,5.88,1.14,0.85,3.32,0.28,0
Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29,1992,16,1.56,0.75,0.5,0.25,3.5,5.56,3.13,0.31,2.06,1.81,3.38,7.13,0
Dan Burn\b2d31e83,eng ENG,DF,Brighton,29,1992,11.4,2.11,1.32,0.53,1.05,4.04,5.35,5.61,1.4,2.46,2.81,4.91,4.56,0.18
Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Byram\1bf811d4,eng ENG,DF,Norwich City,27,1993,11.4,2.46,1.32,1.23,1.05,2.98,6.84,4.04,1.32,2.72,3.33,5.79,4.47,0
Willy Caballero\a179d516,ar ARG,GK,Southampton,39,1981,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Moisés Caicedo\16264a81,ec ECU,MF,Brighton,19,2001,7.3,2.74,1.64,0.82,1.1,6.03,4.93,10.3,4.11,1.78,1.64,4.38,1.51,0
Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24,1997,14.3,0.98,0.77,0.14,0.28,3.43,0.77,6.5,6.57,0.77,0.42,1.4,0.84,0
Chem Campbell\6f711f67,wls WAL,MF,Wolves,18,2002,0.1,10,10,0,0,10,0,10,0,0,0,10,0,0
João Cancelo\bd6351cd,pt POR,DF,Manchester City,27,1994,35.9,2.48,1.5,0.97,1.34,3.31,2.95,3.84,2.87,1.25,2.09,4.57,1.56,0
Sergi Canós\1137759d,es ESP,DF,Brentford,24,1997,23.1,2.47,0.95,1,1.6,4.89,8.53,7.58,3.81,1.73,1.43,3.9,1.65,0
Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23,1998,4.9,3.06,2.24,0.82,2.04,5.1,7.96,9.39,4.29,0.41,0.82,3.88,0.61,0
Matty Cash\2389cdc2,pl POL,DF,Aston Villa,23,1997,37.5,2.4,1.17,1.09,0.88,3.79,7.15,5.15,1.33,2.43,2.4,4.8,2.53,0
Timothy Castagne\197640fd,be BEL,DF,Leicester City,25,1995,23.6,2.8,1.23,0.97,0.89,4.58,6.36,6.44,1.99,2.25,1.61,4.41,2.75,0.08
Jonny Castro\e28868f3,es ESP,DF,Wolves,27,1994,11.4,2.37,1.84,0.88,0.88,5.09,7.54,5.53,2.28,1.67,1.14,3.51,0.61,0
Craig Cathcart\89e4b358,nir NIR,DF,Watford,32,1989,26.6,1.24,0.56,0.6,0.68,1.92,4.4,1.69,0.11,2.07,1.43,2.67,4.85,0.08
Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34,1987,8.5,0.47,0.24,0.35,0.35,4.59,1.65,4.24,6.47,1.06,1.06,1.53,0.82,0
Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,10,10,10,0,0,0,0,0
Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22,1999,16.1,2.36,1.3,1.24,0.62,3.73,3.98,5.34,0.93,1.24,2.05,4.41,4.04,0.06
Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,26,1995,1.9,1.05,0.53,0.53,1.05,2.63,9.47,2.63,0.53,5.79,1.58,2.63,3.68,0.53
Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,26,1995,9.2,2.17,1.2,0.54,0.22,3.37,5.43,4.35,0.43,2.28,1.2,3.37,6.41,0
Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,24,1996,6,1.67,0.83,0,0.83,5.17,5.67,6,3.67,1.67,1,2.67,2.5,0.17
Chiquinho\dc6c2f02,pt POR,DFMF,Wolves,21,2000,2.3,3.91,2.61,1.3,0.43,6.09,6.09,12.6,6.52,1.3,2.61,6.52,1.3,0
Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,23,1997,3.2,2.5,0.63,0.63,0.94,1.88,4.69,7.5,0.94,1.56,5,7.5,3.75,0
Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25,1996,16.6,1.08,0.72,0.6,0.3,3.07,5.06,3.13,0.72,1.81,3.13,4.22,5.24,0.06
Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,17,2004,3.3,0.91,0.61,0.61,1.21,7.58,6.97,14.5,4.55,0.91,1.21,2.12,0.3,0
Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,31,1989,11.3,1.5,1.15,0.8,0.53,2.39,4.69,1.68,0.35,1.24,1.33,2.83,4.42,0
Tom Cleverley\6cdd8245,eng ENG,MF,Watford,31,1989,18,1.89,1.5,0.56,1.22,5.89,6.44,10.6,3.67,1.56,1.5,3.39,1.06,0.06
Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30,1991,15,1.47,0.73,0.47,0.53,2.87,4.27,2.87,1.27,0.67,2.2,3.67,2.07,0
Conor Coady\2928dca2,eng ENG,DF,Wolves,28,1993,37.3,0.83,0.48,0.32,0.38,1.82,3.32,1.82,0.13,1.72,1.18,2.01,4.02,0
Séamus Coleman\0420d84f,ie IRL,DF,Everton,32,1988,29.5,2.44,1.42,0.98,0.61,4.2,5.39,4.41,1.59,2,1.83,4.27,2.54,0.03
Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20,2001,18.6,1.61,1.24,0.48,0.75,2.9,5.54,2.47,0.65,2.58,1.99,3.6,5.48,0.05
Aaron Connolly\27c01749,ie IRL,FW,Brighton,21,2000,1.7,0,0,0,0.59,2.94,2.35,6.47,7.06,1.18,0,0,0,0
Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,29,1991,20.2,1.73,0.89,0.74,0.59,3.66,6.09,3.71,0.15,1.58,1.98,3.71,5.79,0.15
Jack Cork\74e12f1e,eng ENG,MF,Burnley,32,1989,18.6,0.91,0.43,0.27,1.02,5.05,5.75,9.46,3.23,1.4,1.83,2.74,1.45,0
Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,24,1996,19.6,1.02,0.56,0.2,0.36,4.29,3.47,6.48,5.51,0.71,0.56,1.58,0.82,0
Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,27,1994,0.2,0,0,0,10,10,5,25,15,0,0,0,0,0
Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,28,1992,24.5,1.8,0.9,0.65,0.86,3.22,5.76,4,2.53,2.04,1.39,3.18,3.02,0
Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,29,1992,14.8,1.35,0.74,0.47,0.47,3.24,3.45,7.43,4.05,1.15,0.54,1.89,0.2,0
Aaron Cresswell\4f974391,eng ENG,DF,West Ham,31,1989,30.3,0.99,0.63,0.46,0.43,2.21,3.66,2.41,0.96,1.58,1.42,2.41,2.51,0.03
Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,18,2002,1.6,4.38,1.88,1.88,0,3.13,8.75,9.38,0,1.25,2.5,6.88,6.25,0
Cucho\71b47ab9,co COL,FWMF,Watford,22,1999,12.7,1.26,0.39,0.31,2.2,4.49,5.51,8.58,6.38,0.94,0.87,2.13,0.79,0
Marc Cucurella\1daec722,es ESP,DF,Brighton,23,1998,34.3,2.57,1.81,1.4,0.85,5.86,6.27,6.36,2.94,2.1,2.1,4.66,1.92,0
Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19,2002,2,2,1.5,0.5,0,4.5,7.5,11,3,0.5,1,3,1,0
Patson Daka\ca45605e,zm ZAM,FW,Leicester City,22,1998,12.9,1.32,0.85,0.08,0.93,5.97,1.47,7.75,8.84,0.85,0.23,1.55,0.62,0
Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30,1991,32.4,2.78,1.42,1.48,2.07,5.46,8.09,6.54,1.76,1.98,2.41,5.19,2.04,0
Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22,1999,20,2.9,1.65,1.35,0.85,3.6,5.5,4.2,1.9,1.85,2.2,5.1,3.05,0
Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,30,1990,8,0,0,0,0,0,0,0,0,0,0,0,0.13,0
Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,22,1998,2.9,1.38,0.69,0.69,1.38,4.14,4.83,9.66,4.48,2.76,1.38,2.76,2.41,0
Ben Davies\44781702,wls WAL,DF,Tottenham,28,1993,28.2,1.42,0.64,0.43,0.78,3.05,4.72,3.26,1.56,1.38,1.6,3.01,3.3,0
Tom Davies\9228b07c,eng ENG,MF,Everton,23,1998,2.6,1.54,0.77,0.38,1.54,5,7.31,8.08,3.46,1.54,3.08,4.62,2.69,0
Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,0,0,0,0,10,0,0,0,0,0
Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31,1990,30.6,1.08,0.69,0.39,0.49,2.19,4.12,2.09,0.29,2.16,0.98,2.06,4.74,0.03
Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30,1991,24.5,0.9,0.57,0.41,1.27,4,1.88,6.08,6.78,1.39,0.57,1.47,0.73,0
Troy Deeney\82e34b69,eng ENG,FW,Watford,33,1988,0.3,0,0,0,3.33,6.67,3.33,6.67,13.3,0,0,0,10,0
Liam Delap\dd897ee7,eng ENG,FW,Manchester City,18,2003,0.1,0,0,0,10,0,0,10,10,0,0,0,0,0
Fabian Delph\111c3236,eng ENG,MF,Everton,31,1989,7.4,2.57,1.76,0.81,2.16,5.27,4.73,10.4,2.03,1.76,2.57,5.14,1.22,0
Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26,1995,21.7,2.07,1.11,0.83,0.88,5.53,8.53,9.26,2.58,2.17,1.11,3.18,1.52,0
Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,23,1997,28.7,1.6,0.98,0.45,1.01,5.09,4.32,8.68,6.62,1.22,0.87,2.47,0.49,0
Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,22,1998,23.4,1.71,1.07,0.56,0.94,4.83,6.62,7.82,5.56,1.97,1.15,2.86,1.2,0.04
Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22,1999,11.4,2.37,1.75,0.7,1.4,5.96,6.67,10,3.42,0.88,1.49,3.86,0.79,0
Raphael Dias Belloli\3423f250,br BRA,FWMF,Leeds United,24,1996,32.4,1.67,0.77,0.56,1.57,4.2,4.38,7.38,5.96,1.82,1.33,2.99,0.71,0
Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24,1997,26.7,1.27,1.01,0.26,0.34,2.55,2.13,2.92,0.67,1.05,1.42,2.7,2.92,0.04
Luis Díaz\4a1a9578,co COL,FW,Liverpool,24,1997,10.6,1.13,0.94,0.28,0.66,5.57,2.45,6.04,6.89,0.85,0.38,1.51,0.19,0
Eric Dier\ac861941,eng ENG,DF,Tottenham,27,1994,34.1,0.73,0.38,0.12,0.26,2.05,2.73,2.32,0.26,1.64,1.38,2.11,4.93,0
Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28,1993,14.1,1.35,0.71,0.5,0.78,2.41,5.25,3.69,2.2,2.06,2.27,3.62,2.98,0
Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28,1993,13,2.69,1.31,1.69,0.62,3.31,6.15,3.85,2.38,2.15,2.38,5.08,2.31,0
Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30,1991,34,0.62,0.35,0.32,0.12,1.29,2.12,1.32,0.21,0.91,1.38,2,3.97,0.03
Issa Diop\a712ca2b,fr FRA,DF,West Ham,24,1997,10.7,0.84,0.28,0.19,0.75,2.62,3.83,2.8,0.09,2.15,1.59,2.43,4.11,0
Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23,1998,5.1,2.55,1.57,0.98,1.37,4.9,9.02,7.65,3.73,1.76,1.76,4.31,0.59,0
Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,18,2003,0.4,5,5,0,5,12.5,10,17.5,20,0,2.5,7.5,0,0
Matt Doherty\d557d734,ie IRL,DF,Tottenham,29,1992,9.7,1.86,1.24,0.72,0.52,4.33,5.15,5.57,1.65,2.47,1.75,3.61,1.55,0
Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,23,1997,34,1.68,1.09,0.68,0.35,2.53,3.85,2.26,0.41,1.44,1.15,2.82,3.44,0.09
Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,28,1993,28.2,2.7,1.6,0.92,1.56,6.35,8.79,10.9,3.55,1.49,1.45,4.15,1.17,0
Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,23,1997,10.1,1.68,0.69,0.79,2.38,4.85,6.63,12,8.12,0.99,0.89,2.57,0.2,0
Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,19,2001,1.4,4.29,2.14,1.43,1.43,5.71,11.4,7.14,2.14,1.43,2.14,6.43,1.43,0
