Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,27,1994,28.2,1.17,0.6,0.5,0.71,3.05,3.01,4.08,2.98,1.52,1.74,2.91,2.06,0
Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,23,1997,1,0,0,0,0,3,5,2,0,3,2,2,8,0
Rodri\6434f10d,es ESP,MF,Manchester City,25,1996,32,2.03,1.44,0.91,1,5.34,4.06,7.94,3.03,1.5,1.25,3.28,1.69,0
Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,30,1991,25.2,1.03,0.71,0.36,0.67,4.68,2.62,7.26,6.67,0.6,0.75,1.79,1.07,0
Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32,1989,15.4,1.43,0.65,0.19,0.78,4.55,4.81,7.4,9.22,1.62,0.39,1.82,0.78,0
Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22,1999,13.8,1.88,0.65,1.16,1.38,3.12,8.26,2.9,1.38,2.25,1.52,3.41,2.17,0
Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23,1998,20.5,3.66,2.2,1.22,0.88,5.51,9.51,4.78,1.17,2.44,2.78,6.44,3.8,0.05
Oriol Romeu\4b511457,es ESP,MF,Southampton,29,1991,32.1,2.52,1.68,0.72,1.68,5.95,5.64,9.63,2.31,1.4,2.09,4.61,1.62,0
Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,36,1985,27.3,0.37,0.29,0.15,0.11,1.79,0.84,2.82,3,0.44,0.18,0.55,1.14,0.04
Salomón Rondón\b318a643,ve VEN,FW,Everton,31,1989,8.8,0.68,0.23,0.34,0.8,5.68,1.93,8.52,9.09,0.68,0.45,1.14,1.25,0
Danny Rose\89d10e53,eng ENG,DF,Watford,31,1990,7.7,2.99,1.95,1.56,2.21,4.42,5.71,4.68,0.65,1.82,1.95,4.94,1.69,0
Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18,2003,2.5,2.8,1.2,0.4,0,6.4,6,11.2,9.6,2.8,1.6,4.4,0,0
John Ruddy\da8b19e2,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,28,1993,33.7,1.57,0.83,0.89,0.47,2.73,4.33,3.41,0.98,1.22,1.28,2.85,3.26,0.03
Lukas Rupp\3faa1780,de GER,MF,Norwich City,30,1991,8.5,1.18,0.94,0.47,1.18,6.24,8.82,8.59,2.82,0.94,2,3.18,0.47,0.12
José Sá\903b6e8b,pt POR,GK,Wolves,28,1993,36.5,0.03,0,0.03,0.05,0.08,0.27,0,0,0.03,0,0.03,0.08,0.08
Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,0.29,0.19,0.06,0.51,2.15,1.67,3.53,3.04,0.54,0.67,0.96,0.06,0
Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31,1990,30.1,1.99,1.26,0.6,0.47,3.42,5.38,3.36,0.66,2.03,2.69,4.68,5.75,0.03
Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,19,2001,33.1,1.12,0.69,0.21,0.73,4.05,3.32,5.68,5.98,1.24,0.94,2.05,0.57,0
Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29,1992,30.7,0.55,0.23,0.13,0.55,4.14,2.18,4.14,8.27,0.42,0.49,1.04,0.13,0
Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22,1999,33,2.76,1.82,1.24,0.94,4.48,6.61,3.73,0.7,2.09,2.82,5.58,5.94,0.15
Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,21,1999,12.6,1.75,1.03,0.71,0.48,3.73,3.57,5.08,2.3,1.43,1.83,3.57,1.43,0.16
Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25,1996,18.1,2.49,1.22,0.88,0.61,3.65,4.92,4.42,0.94,1.93,1.88,4.36,4.2,0
Robert Sánchez\6a713852,es ESP,GK,Brighton,23,1997,37,0,0,0,0,0.03,0.14,0,0,0.05,0,0,0,0.11
Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21,2000,21.1,0.85,0.62,0.33,0.76,3.22,3.08,6.07,3.93,1.33,1.14,1.99,0.24,0.09
Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,26,1994,4,3,2,1,0.5,11.5,12.8,15,6,3.75,2.75,5.75,0.5,0
Samir Santos\92b4758e,br BRA,DF,Watford,26,1994,18.6,1.72,1.02,0.54,0.38,2.85,5.27,2.04,0.38,1.51,2.9,4.62,4.41,0.11
Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,21,2000,17.5,1.94,0.97,0.74,1.09,5.71,5.54,8.17,6.91,2.46,1.2,3.14,1.03,0.11
Jeremy Sarmiento\ac0d576d,ec ECU,FWMF,Brighton,19,2002,0.5,6,2,2,2,14,16,26,10,6,2,8,0,0
Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,23,1998,20.7,0.68,0.34,0.1,0.58,4.4,4.15,8.41,6.67,1.01,0.77,1.45,0.63,0
Malang Sarr\4315f30d,fr FRA,DF,Chelsea,22,1999,6.1,2.13,0.66,0.49,0.66,3.77,6.56,3.61,0.98,1.48,1.97,4.1,4.26,0
Dane Scarlett\21945a9e,eng ENG,MF,Tottenham,17,2004,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,29,1991,24,0.83,0.46,0.46,0.21,1.96,3.42,2.17,0.71,1.54,3.13,3.96,5.04,0.08
Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,28,1992,20.6,2.38,1.12,0.68,1.26,5.92,5.34,9.51,3.69,2.43,1.21,3.59,1.6,0
Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,34,1986,37,0,0,0,0.05,0,0.05,0,0,0,0,0,0.03,0.05
Ken Sema\1770bd68,se SWE,MFFW,Watford,27,1993,9.5,1.26,0.84,0.53,1.58,4.53,7.47,10.1,2.84,1.58,0.95,2.21,1.89,0
Nélson Semedo\d04b94db,pt POR,DF,Wolves,27,1993,23.7,2.49,1.69,1.1,0.93,4.56,7.68,5.49,2.83,1.81,1.81,4.3,2.41,0
Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,21,2000,11.6,2.33,1.21,1.03,1.21,4.91,8.62,6.38,4.83,2.59,1.64,3.97,1.9,0
Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,21,1999,7.9,3.29,2.28,1.14,1.52,4.94,6.58,6.2,1.77,2.03,1.27,4.56,1.14,0.25
Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26,1995,17.8,1.24,0.73,0.67,0.67,3.09,4.66,4.04,1.97,2.25,0.84,2.08,1.24,0
Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29,1992,22,1.27,0.64,0.45,1,3.18,4.77,6.91,1.36,1.27,1.59,2.86,1.5,0.09
Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,17,2004,0.2,0,0,0,0,0,0,5,5,0,0,0,0,0
Francisco Sierralta\0f933743,cl CHI,DF,Watford,24,1997,4.7,1.28,0.85,1.06,0.64,2.13,3.83,1.28,0,1.91,2.98,4.26,8.51,0
Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,26,1994,31.7,1.64,1.04,0.82,1.29,4.51,2.74,6.94,5.46,1.04,1.01,2.65,0.82,0
Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,19,2002,6.4,0.94,0.78,0.16,0.78,6.88,1.09,12.5,9.69,0.16,0.63,1.56,0.31,0
Thiago Silva\86e7deaf,br BRA,DF,Chelsea,36,1984,29.4,1.22,0.78,0.37,0.48,1.94,3.44,2.24,0.2,2.21,2.21,3.44,3.88,0
Ellis Simms\26d3b5be,eng ENG,FW,Everton,20,2001,0.7,0,0,0,0,4.29,2.86,7.14,4.29,2.86,0,0,0,0
Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,31,1989,35.8,1.65,1.12,0.53,0.45,4.47,4.94,6.98,2.18,1.48,1.23,2.88,2.01,0
Oliver Skipp\6250083a,eng ENG,MF,Tottenham,20,2000,15,2.2,1.2,0.8,1.07,4.73,7.27,8.73,2.33,1.67,1.27,3.47,0.93,0
William Smallbone\5e105217,ie IRL,MFFW,Southampton,21,2000,1.5,4,3.33,0.67,2.67,8.67,6.67,12.7,10,2,1.33,5.33,1.33,0
Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21,2000,21.3,0.94,0.75,0.19,0.52,3.66,2.54,5.87,3.62,0.7,0.94,1.88,0.61,0
Cédric Soares\839c14e1,pt POR,DF,Arsenal,29,1991,16.5,2.36,1.21,0.91,0.61,4.12,4.61,4.55,2.61,1.45,1.21,3.58,2.12,0.06
Tomáš Souček\6613c819,cz CZE,MF,West Ham,26,1995,34,2,1.21,0.74,1.26,3.79,5.91,6.47,1.82,1.44,1.62,3.62,3.5,0.03
Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22,1999,12.2,1.97,1.07,0.49,0.98,5.08,7.54,10.3,2.62,1.07,1.39,3.36,1.56,0
Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25,1996,27.7,1.88,1.08,0.9,0.58,3.36,5.2,3.83,0.32,2.02,1.81,3.68,5.02,0.04
Tony Springett\35be8087,eng ENG,FWMF,Norwich City,18,2002,1.6,1.88,0.63,1.25,1.25,3.75,7.5,17.5,5,0.63,0,1.88,0.63,0
Jason Steele\28300a16,eng ENG,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,28,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Steffen\42130443,us USA,GK,Manchester City,26,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens\653ee42d,eng ENG,MF,Burnley,32,1989,1.4,5,1.43,0.71,2.86,10,5,20.7,3.57,2.86,1.43,6.43,0.71,0
Jack Stephens\6adbc307,eng ENG,DF,Southampton,27,1994,9,2.33,1.33,0.67,1.33,3.67,6.22,3.22,0.78,1.78,3,5.33,5.11,0
Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,26,1994,23.6,1.19,0.76,0.25,0.64,3.94,1.61,6.23,5.59,0.64,0.64,1.82,0.13,0
Finley Stevens\7e003182,wls WAL,DF,Brentford,18,2003,0.2,10,0,5,0,5,0,20,5,0,0,10,0,0
John Stones\5eecec3d,eng ENG,DF,Manchester City,27,1994,12.4,0.4,0.32,0.16,0.16,1.77,1.85,2.34,0.48,0.73,1.37,1.77,3.31,0.08
Pascal Struijk\f4d296e4,nl NED,DF,Leeds United,21,1999,22.8,2.98,1.54,1.23,0.96,6.14,8.86,6.93,1.18,2.5,2.76,5.75,3.6,0.13
Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,19,2001,1.4,4.29,2.86,2.14,0,6.43,3.57,5,7.14,1.43,3.57,7.86,0,0
Jakob Sørensen\953c30b0,dk DEN,MFDF,Norwich City,23,1998,6.7,3.73,2.39,1.04,1.19,6.87,7.61,9.55,1.49,1.79,2.24,5.97,2.24,0
Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22,1999,8.2,2.56,1.46,0.98,0.61,4.39,6.34,5.49,1.59,1.95,2.07,4.63,3.66,0
Matt Targett\e514ab62,eng ENG,DF,Aston Villa,25,1995,15.9,1.95,0.94,0.82,1.38,2.77,6.73,3.9,1.38,2.77,2.2,4.15,1.57,0
Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,25,1995,16,2.5,1.44,1.25,0.94,3.5,6.19,2.81,1.94,1.13,2.19,4.69,2.69,0.06
James Tarkowski\15ea812b,eng ENG,DF,Burnley,28,1992,34.5,2.06,1.22,0.93,0.72,2.72,5.1,2.12,0.35,2.67,2.09,4.14,6.26,0.14
Nuno Tavares\a65c844b,pt POR,DF,Arsenal,21,2000,13.1,1.53,0.92,0.38,0.38,3.59,4.89,4.2,2.75,1.6,1.83,3.36,2.29,0.08
Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,27,1993,30.3,1.78,0.79,0.92,0.66,2.05,4.29,2.81,0.92,3.14,2.38,4.16,2.77,0.03
Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22,1999,8.9,1.35,0.56,0.45,1.57,7.64,6.97,12.9,10.3,2.02,2.13,3.48,0.79,0
Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,28,1992,18.4,2.61,1.47,1.03,0.87,3.26,5.76,3.64,1.25,1.58,1.96,4.57,2.88,0.11
Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20,2001,21.2,2.26,1.37,0.94,1.51,4.95,9.43,6.42,2.12,2.69,1.89,4.15,2.26,0.05
Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21,2000,1.6,1.88,0.63,1.25,0.63,1.88,5.63,3.13,1.25,1.25,1.88,3.75,2.5,0
Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24,1997,29.2,2.29,1.68,1.03,2.19,5,5.62,8.6,2.53,1.61,1.4,3.7,1.44,0.07
Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24,1997,21.3,0.99,0.56,0.47,0.19,2.3,2.82,2.72,2.07,1.64,1.46,2.44,2.16,0
Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,22,1998,18.7,2.03,0.91,0.86,0.75,3.74,4.81,5.19,1.82,1.98,1.93,3.96,2.57,0.05
James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32,1989,6.1,1.97,0.98,0.82,0.33,3.28,5.41,2.62,0,2.13,1.64,3.61,2.3,0
Ivan Toney\e09f279b,eng ENG,FW,Brentford,25,1996,32.3,0.96,0.62,0.19,0.62,3.47,1.64,5.94,6.56,0.96,0.65,1.61,1.33,0.03
Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21,2000,3.4,0.29,0.29,0,0.29,3.82,0.88,2.35,7.94,1.76,0.29,0.59,0,0
Cenk Tosun\9a104dee,tr TUR,FW,Everton,30,1991,0.1,0,0,0,0,0,0,0,10,0,0,0,0,0
Andros Townsend\b28bbd58,eng ENG,MF,Everton,30,1991,16.2,1.79,0.93,0.49,1.67,6.05,5.25,7.9,5.49,2.72,1.3,3.09,0.37,0
Adama Traoré\9a28eba4,es ESP,FW,Wolves,25,1996,11.9,1.01,0.76,0.17,0.59,3.53,3.11,5.71,2.94,0.67,0.34,1.34,0.17,0
Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,25,1995,2.4,0.83,0,0.42,0.83,2.08,1.67,2.08,7.5,0,0,0.83,0.42,0
Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,21,1999,14.8,1.96,1.01,0.41,0.54,6.35,5,11.4,6.42,1.42,1.01,2.97,0.07,0
Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,30,1990,4.8,4.38,2.71,2.08,1.25,3.75,4.38,6.46,1.67,2.5,2.29,6.67,3.75,0
William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,27,1993,15.4,1.1,0.65,0.39,0.32,2.47,4.03,2.66,0.19,1.88,1.49,2.6,5.71,0.06
Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,26,1994,31.2,1.19,0.77,0.19,0.83,5,2.76,5.71,6.86,1.35,0.93,2.12,0.26,0
Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25,1996,9.7,2.06,1.03,0.62,1.03,4.85,5.46,4.64,4.02,1.55,1.44,3.51,2.27,0
Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,23,1997,5.6,1.43,1.07,0.36,0.54,2.32,4.11,3.57,0.71,0.89,1.61,3.04,2.32,0.18
Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26,1995,3.7,1.08,0.54,0.27,0.81,2.43,6.22,10.5,4.05,1.35,0.54,1.62,1.08,0
Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,19,2002,3.7,1.62,0.54,0.81,1.89,3.78,7.03,5.41,6.22,1.08,0.54,2.16,0.54,0
Yan Valery\531a4aa8,fr FRA,DF,Southampton,22,1999,4.1,2.44,1.71,1.22,1.46,4.88,5.37,5.85,0.98,2.44,2.93,5.37,5.12,0.24
Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28,1993,20.3,1.33,0.79,0.49,0.59,2.86,5.52,2.32,0.25,1.58,1.72,3.05,4.68,0.05
Jamie Vardy\45963054,eng ENG,FW,Leicester City,34,1987,20.1,0.35,0.2,0.05,0.25,3.33,0.65,5.82,7.21,0.5,0.35,0.7,0.8,0
Joël Veltman\dad4b285,nl NED,DF,Brighton,29,1992,31.9,2.82,1.25,0.97,1.03,3.42,5.55,4.29,1.13,2.04,2.1,4.92,3.04,0.03
Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,28,1992,6.3,2.54,1.75,0.95,1.43,3.49,7.14,2.38,0,2.38,2.38,4.92,6.51,0.16
Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,23,1997,6.2,2.1,1.77,0.65,2.58,5.65,6.61,10.5,7.1,0.97,1.61,3.71,0.32,0
Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29,1992,7.5,1.6,1.07,0.4,0.27,5.33,2.27,8.27,10.7,0.67,0.4,2,1.2,0
Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,32,1989,4.2,1.19,0.71,0.71,0.48,4.05,4.76,8.33,5.71,1.19,1.67,2.86,0.48,0
Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31,1990,19.5,1.18,0.82,0.56,0.56,2.87,2.72,4.51,1.18,1.03,1.28,2.46,1.23,0
Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24,1997,29.3,2.15,0.92,0.68,0.55,3.79,4.78,5.05,2.7,1.81,1.91,4.06,1.5,0.03
Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,23,1997,19.9,2.31,1.26,0.35,0.55,3.22,5.33,3.92,2.06,2.81,2.56,4.87,2.41,0
Danny Ward\d3ce0e89,wls WAL,GK,Leicester City,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,31,1989,27.6,1.74,1.01,0.87,0.98,3.04,5.47,3.48,1.34,1.92,1.96,3.7,3.77,0.04
James Ward-Prowse\3515d404,eng ENG,MF,Southampton,26,1994,35.7,1.32,0.73,0.36,1.46,4.73,4.79,8.32,2.32,1.82,1.68,3,1.23,0.03
Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,25,1995,32.8,0.52,0.43,0.06,0.24,4.3,1.16,7.8,8.66,1.28,0.52,1.04,0.79,0
Adam Webster\c40b6180,eng ENG,DF,Brighton,26,1995,15.9,1.45,0.82,0.75,0.63,2.83,4.34,2.58,0.5,2.26,1.57,3.02,5.09,0.13
Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,28,1992,16.1,1.06,0.75,0.37,0.87,8.26,5.03,14,13.2,1.86,0.5,1.55,0.75,0
Danny Welbeck\ce5143da,eng ENG,FW,Brighton,30,1990,16.4,0.85,0.73,0.12,0.55,5.49,1.77,5.73,8.48,1.22,0.3,1.16,1.04,0
Timo Werner\49fe9070,de GER,FWMF,Chelsea,25,1996,14.3,0.49,0.28,0,1.19,4.48,2.45,6.01,8.88,0.77,0.28,0.77,0.21,0
Ashley Westwood\495945ef,eng ENG,MF,Burnley,31,1990,25.4,1.18,0.91,0.51,0.63,3.62,4.96,9.72,2.4,0.75,1.69,2.87,0.79,0
Ben White\35e413f1,eng ENG,DF,Arsenal,23,1997,32,1.31,0.72,0.59,0.75,2.56,4.19,2.97,0.72,1.69,2.06,3.38,3.56,0
Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,20,2000,23.6,2.37,1.23,1.02,1.4,3.43,6.61,5.08,1.74,2.16,2.58,4.96,1.99,0
Neco Williams\dd323728,wls WAL,DF,Liverpool,20,2001,0.1,0,0,0,0,0,10,0,0,0,0,0,0,0
Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,21,1999,22.6,3.05,1.95,0.97,1.77,5.22,7.43,11.2,5.09,1.68,1.33,4.38,0.71,0
Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29,1992,15.4,0.52,0.39,0.06,0.19,2.79,1.56,4.81,5.97,0.58,0.26,0.78,0.78,0.06
Harry Winks\2f7acede,eng ENG,MF,Tottenham,25,1996,10.1,1.68,0.69,0.79,0.79,3.17,5.05,7.03,2.28,1.78,1.88,3.56,0.79,0
Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,24,1996,14.3,0.98,0.56,0,1.05,3.78,2.52,4.48,6.29,1.12,0.63,1.61,0.56,0
Chris Wood\4e9a0555,nz NZL,FW,Burnley,29,1991,15.2,0.72,0.53,0.26,0.26,3.95,0.53,5.33,7.17,1.05,0.26,0.99,0.39,0
Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,29,1991,14.7,0.27,0.2,0.07,0.07,4.56,1.02,7.89,7.96,0.54,0.14,0.41,0.54,0
Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24,1997,4,0,0,0,0,0,0.25,0,0,0,0,0,0,0
Granit Xhaka\e61b8aee,ch SUI,MFDF,Arsenal,28,1992,25.9,1.51,0.93,0.5,0.89,3.24,3.9,4.67,3.01,1.39,1.2,2.7,1.08,0
Andriy Yarmolenko\849c826a,ua UKR,FW,West Ham,31,1989,3.5,0.86,0,0.86,1.14,3.43,5.43,5.43,6.29,1.43,0.29,1.14,0.29,0
Ashley Young\be927d03,eng ENG,DFFW,Aston Villa,36,1985,13.9,2.01,1.08,0.79,0.22,2.52,4.24,4.03,2.16,0.86,1.58,3.6,1.73,0
Nathan Young-Coombes\f9682888,eng ENG,FW,Brentford,18,2003,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,28,1992,30.7,1.56,1.14,0.29,0.62,5.6,4.46,9.9,5.73,0.88,0.78,2.35,0.13,0
Christoph Zimmermann\2d5f03bf,de GER,DF,Norwich City,28,1993,1.7,2.94,1.76,1.18,1.18,5.29,7.65,4.71,1.76,0,1.76,4.71,1.76,0
Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,24,1996,11.6,1.72,0.95,0.34,0.78,2.67,2.16,4.05,1.9,1.55,1.55,3.28,1.12,0.09
Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28,1993,14.7,1.36,0.75,0.27,1.43,5.31,3.61,8.03,6.46,1.22,1.36,2.72,0.61,0
Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,26,1994,23.1,0.48,0.22,0.17,0.17,1.52,2.51,1.56,0.56,1.65,2.03,2.51,6.06,0
Martin Ødegaard\79300479,no NOR,MF,Arsenal,22,1998,30.9,1.39,0.81,0.39,0.87,4.98,3.46,8.48,6.63,0.58,0.71,2.1,0.39,0.03