,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
211,Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,38,70.7,68,2.68,2.45,0.08,6.42,1.79,0.29,0,0,0,0,56.6,6.29,7.79,9.24,57.7,2.53,0.24,0.21,62.9,0.16,0.95,1.16,0.32
212,Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0
213,Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,16.2,30.9,29.5,1.42,0,0.12,7.47,0.49,0.74,0.06,0,0,0,24.1,4.44,2.41,28.1,1.67,0.68,0,0.12,24.7,0.19,0.31,1.54,1.23
214,Danny Ings\Danny-Ings,FW,Southampton,24.1,21.5,21.1,0.46,0,0.04,5.48,0.46,1,0,0,0,0,13.6,3.82,4.15,2.32,17.3,1.04,0.08,0.25,14.3,0.17,0.58,0.83,1.04
215,Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,8.5,36.6,34.1,2.47,2.35,0,3.18,1.06,0,0,0,0,0,26.2,4.12,6.24,3.06,28.2,3.76,0.12,0,31.2,0,0.82,0.35,0.59
216,Alex Iwobi\Alex-Iwobi,FWDF,Everton,17.1,40.2,38.4,1.81,0,0.12,6.14,1.46,3.04,0,0,0,0,29.4,5.38,5.5,4.33,33.5,0.41,1.75,0.06,31,0.29,0.53,0.88,1.87
217,José Izquierdo\Jose-Izquierdo,DFMF,Brighton,0.1,90,70,20,0,0,10,0,10,0,0,0,0,60,20,10,0,70,0,20,0,80,0,0,0,0
218,Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,5.8,32.1,30,2.07,1.21,0,4.83,1.72,0.17,0,0,0,0,18.8,3.79,9.48,5,23.1,1.9,0.86,0,24.5,0,1.21,0.52,0.34
219,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,Brighton,5.9,44.9,43.1,1.86,0.34,0.68,7.12,1.36,4.75,0.34,0,0.34,0,31.9,5.93,7.12,3.39,38.3,1.19,0.68,0.85,33.2,0.17,0.51,1.02,2.54
220,Daniel James\Daniel-James,FW,Manchester Utd,10.1,30.1,29.8,0.3,0.1,0.1,5.84,0.3,1.78,0,0,0,0,24.7,3.17,2.28,3.37,25.4,0.59,0.2,0,23.5,0.1,0.59,0.4,1.78
221,Reece James\Reece-James,DF,Chelsea,26.4,75.3,66.1,9.13,0.98,0.04,7.39,2.42,3.79,1.25,0.53,0.49,0.08,51.4,13,10.9,7.42,58,2.12,6.89,0.23,63.9,0.27,0.83,1.1,1.86
222,Alexandre Jankewitz\Alexandre-Jankewitz,MF,Southampton,0,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0
223,Daniel Jebbison\Daniel-Jebbison,FW,Sheffield Utd,3.2,10.6,10.3,0.31,0,0,2.19,0,0.31,0,0,0,0,6.88,1.56,2.19,0.94,8.13,0.63,0,0,7.5,0,0,0.31,0.31
224,Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,22.9,32.9,31,1.92,0.26,0.04,6.59,0.39,0.44,0.22,0,0,0,26.9,3.71,2.27,4.93,26,0.61,0.22,0.79,27.9,0.04,0.35,0.96,0.96
225,Raúl Jiménez\Raul-Jimenez,FW,Wolves,9.1,28.9,28,0.88,0.11,0.22,8.35,1.1,0.33,0,0,0,0,18.7,6.59,3.63,2.31,22.6,1.43,0.11,1.21,22.7,0.22,0.66,0.22,0.99
226,Joelinton\Joelinton,FWMF,Newcastle Utd,22,26.8,26.3,0.55,0.05,0.14,10.5,0.27,0.64,0,0,0,0,18.2,5.14,3.45,4.77,17.4,1,0,0.64,19.8,0.05,0.68,0.82,1.41
227,Ben Johnson\Ben-Johnson,DF,West Ham,5.8,37.8,33.4,4.31,0.17,0,6.9,1.21,2.41,0,0,0,0,19.8,8.79,9.14,8.62,23.3,1.21,4.14,0,26.6,0,1.21,2.59,2.41
228,Sam Johnstone\Sam-Johnstone,GK,West Brom,37,34.6,21.5,13.2,5.19,0.03,1.76,1.65,0,0,0,0,0,7.49,1.27,25.9,1.38,25.5,0.03,0,4.57,17.3,0.19,1.84,0.32,0.19
229,Curtis Jones\Curtis-Jones,MF,Liverpool,13.1,74.5,73.7,0.84,0.08,0.15,7.63,0.92,0.53,0,0,0,0,64.7,4.12,5.73,9.54,60.9,2.6,0.46,0.38,67.9,0.15,0.08,1.3,0.84
230,Jorginho\Jorginho,MF,Chelsea,22.3,78,76.8,1.21,1.21,0.09,8.83,1.39,0.04,0,0,0,0,62.8,6.01,9.24,5.34,69.9,2.11,0,0.09,69.9,0.09,0.99,1.39,0.58
231,Willian José\Willian-Jose,FW,Wolves,12.3,24.9,23.6,1.3,0,0,7.32,0.98,0.57,0,0,0,0,16.7,4.23,3.98,2.2,19.5,0.98,0.08,0.98,20.2,0.08,0.24,0.73,0.65
232,Diogo Jota\Diogo-Jota,FW,Liverpool,12.4,36.4,36.1,0.24,0,0.08,7.98,0.48,1.29,0,0,0,0,26,5.48,4.92,11,23.5,0.89,0,0.32,26.4,0.24,0.65,1.77,2.02
233,James Justin\James-Justin,DF,Leicester City,23,54.3,46.4,7.87,0.52,0.04,5.52,0.78,2.09,0,0,0,0,33.3,10.9,10,10.3,32.8,2.78,7.35,0.22,43,0.22,0.87,1,1.91
234,Ozan Kabak\Ozan-Kabak,DF,Liverpool,8.9,62.2,60.9,1.35,1.24,0,7.87,2.02,0,0,0,0,0,50.7,5.39,6.18,8.43,50.2,1.57,0.11,0.11,56.4,0.22,1.24,0.34,0
235,Aboubakar Kamara\Aboubakar-Kamara,FWDF,Fulham,3.5,36.6,34.9,1.71,0.29,0.29,6.29,1.43,3.43,0,0,0,0,23.1,6,7.43,4.29,28.6,1.43,0.29,0.29,26.3,0.29,0.57,0.57,2.29
236,Harry Kane\Harry-Kane,FW,Tottenham,34.2,27.4,26,1.37,0.29,0.35,6.99,1.58,1.08,0,0,0,0,14.7,6.4,6.29,3.63,19.6,1.78,0.23,0.26,19.2,0.23,0.38,1.17,1.29
237,N'Golo Kanté\NGolo-Kante,MF,Chelsea,23.8,63.2,62.4,0.84,0.71,0.08,8.03,1.68,0.34,0,0,0,0,49.2,6.97,7.06,8.61,51.6,2.14,0.13,0.17,54.7,0.13,0.76,1.43,1.13
238,Moise Kean\Moise-Kean,FW,Everton,0.2,45,45,0,0,0,0,0,0,0,0,0,0,25,15,5,5,40,0,0,0,35,0,0,0,10
239,Michael Keane\Michael-Keane,DF,Everton,33.2,55.3,54,1.27,1.11,0.09,4.61,1.36,0,0,0,0,0,42.3,4.19,8.83,11.7,39.2,2.56,0,0.06,49.1,0.06,0.51,0.6,0.45
240,Neeskens Kebano\Neeskens-Kebano,FWMF,Fulham,1.3,32.3,30.8,1.54,1.54,0,6.92,0,3.08,0,0,0,0,23.8,4.62,3.85,8.46,23.1,0.77,0,0,25.4,0,0.77,0,0.77
241,Naby Keïta\Naby-Keita,MF,Liverpool,5.8,61.4,59.3,2.07,0.69,0.17,10.7,1.03,0.69,0,0,0,0,48.1,8.1,5.17,4.14,53.8,2.76,0.17,0,53.6,0.17,0.34,1.38,1.03
242,Caoimhín Kelleher\Caoimhin-Kelleher,GK,Liverpool,2,31,22.5,8.5,1.5,0,1.5,1.5,0,0,0,0,0,21.5,1.5,8,3.5,21.5,0,0,5,25.5,0,0,0,0
243,Martin Kelly\Martin-Kelly,DF,Crystal Palace,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
244,Jonjoe Kenny\Jonjoe-Kenny,DF,Everton,0.9,67.8,53.3,14.4,2.22,0,5.56,0,3.33,0,0,0,0,35.6,8.89,23.3,2.22,50,3.33,12.2,0,52.2,0,0,2.22,3.33
245,Reda Khadra\Reda-Khadra,FW,Brighton,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10
246,Max Kilman\Max-Kilman,DF,Wolves,14.6,50.1,48.6,1.44,0.75,0.21,2.81,0.75,0,0,0,0,0,39.2,4.45,6.37,39.5,7.12,1.85,0.68,0.21,44.4,0.07,0.82,0.27,0.41
247,Joshua King\Joshua-King,MFFW,Everton,1.6,30,30,0,0,0,8.13,0.63,0.63,0,0,0,0,22.5,5.63,1.88,1.25,24.4,1.88,0,0.63,21.3,0,0,1.25,2.5
248,Mateusz Klich\Mateusz-Klich,MF,Leeds United,26.6,56.2,53.8,2.37,1.39,0.23,7.48,1.05,1.39,0.68,0.11,0.41,0.04,40,7.33,8.87,3.76,49.1,2.37,0.26,0.19,44.5,0.23,0.9,1.65,1.8
249,Robin Koch\Robin-Koch,DFMF,Leeds United,12.6,60.1,58.8,1.27,1.19,0.08,6.51,1.35,0.08,0,0,0,0,44.8,4.68,10.6,6.35,47.9,3.1,0.08,0.32,51.4,0.16,0.79,0.79,0.32
250,Sead Kolašinac\Sead-Kolasinac,DF,Arsenal,1,64,60,4,1,0,1,0,0,0,0,0,0,49,9,6,54,2,4,3,0,54,1,1,0,3
251,Terence Kongolo\Terence-Kongolo,DF,Fulham,1,39,39,0,0,0,2,0,1,0,0,0,0,31,4,4,32,2,4,0,0,37,0,0,0,0
252,Ezri Konsa\Ezri-Konsa,DF,Aston Villa,35.5,35,33.5,1.58,1.15,0.03,3.97,0.87,0.06,0,0,0,0,25.8,3.21,6.03,3.83,27.8,1.77,0.39,0.08,30.3,0.03,0.76,0.28,0.28
253,Cheikhou Kouyaté\Cheikhou-Kouyate,DF,Crystal Palace,34.7,35.1,33.4,1.64,1.53,0,4.41,0.37,0.12,0,0,0,0,22.6,4.41,8.07,2.65,28.4,2.1,0.09,0.29,27.6,0.06,0.61,0.4,0.61
254,Mateo Kovačić\Mateo-Kovacic,MF,Chelsea,20.2,86,84.7,1.34,1.19,0.25,7.92,2.62,0.3,0,0,0,0,73,5.79,7.23,3.37,81,0.89,0.1,0.15,78.2,0.15,0.79,1.34,0.89
255,Emil Krafth\Emil-Krafth,DF,Newcastle Utd,14.3,39,31,7.9,0.63,0,4.41,0.28,0.84,0,0,0,0,20.4,8.39,10.1,0.84,27.8,1.96,7.27,0.14,28.3,0.07,0.77,1.33,1.61
256,Filip Krovinović\Filip-Krovinovic,MF,West Brom,6.1,59.8,54.6,5.25,2.62,0,8.52,0.82,0.82,0.98,0.16,0.33,0.33,43.1,8.69,8.03,5.74,49,3.11,0.33,0.66,50.5,0.33,0.33,0.49,1.8
257,Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,21.4,24.5,22.7,1.78,0.09,0.19,5.56,0.28,0.19,0,0,0,0,17.9,3.88,2.76,2.52,19.7,1.07,0,0.14,19.2,0.23,0.51,0.42,0.89
258,Adam Lallana\Adam-Lallana,MFFW,Brighton,17.7,52.9,51.5,1.36,0.62,0.23,8.59,0.68,0.96,0.17,0,0,0.06,39.9,7.34,5.59,16.3,33.5,1.81,0.28,0.45,44.8,0.23,0.51,1.07,0.9
259,Érik Lamela\Erik-Lamela,FWMF,Tottenham,8,46,42.1,3.88,1,0.25,10.4,1,1.13,2,1.5,0.13,0,33.8,6,6.25,42.3,2.5,0.63,0.13,0,36.1,0.13,0.25,1,2.13
260,Tariq Lamptey\Tariq-Lamptey,DF,Brighton,9.8,51,41.2,9.8,0.51,0,6.12,1.33,3.06,0,0,0,0,30.1,10.9,10,10.4,29.1,1.63,9.29,0.1,39.8,0,0.92,0.92,1.63
261,Manuel Lanzini\Manuel-Lanzini,MFFW,West Ham,6.3,58.4,57.3,1.11,0.63,0,4.76,0.79,0.32,0.16,0.16,0,0,48.1,5.08,5.24,5.4,51.1,1.59,0.16,0.16,51.9,0.16,0.79,0.95,0.79
262,Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,14.9,84.6,82.5,2.15,1.61,0,6.38,1.74,0,0,0,0,0,73.6,4.3,6.71,63.2,16.8,2.01,0.54,0.4,77.9,0.07,1.01,0.67,0.74
263,Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,18.1,33.1,32.2,0.88,0.88,0.06,4.2,0.55,0.06,0,0,0,0,22,2.98,8.07,5.03,24.2,2.49,0,0.11,26.9,0.06,0.28,0.72,0.28
264,Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,1.4,58.6,57.1,1.43,0.71,0,2.14,3.57,0,0,0,0,0,47.1,3.57,7.86,52.1,5,0,0.71,0,55.7,0,0,0,0
265,Mario Lemina\Mario-Lemina,MF,Fulham,18.9,45.5,44.6,0.95,0.79,0.05,4.44,1.27,0.26,0,0,0,0,35.7,3.92,5.93,6.61,36.2,1.85,0.11,0.11,38.8,0.05,0.9,1.01,0.42
266,Bernd Leno\Bernd-Leno,GK,Arsenal,34.8,33.2,24.7,8.51,2.01,0.03,2.44,0.6,0,0,0,0,0,22.3,0.92,10,3.71,23.9,0.06,0,4.77,26.5,0.03,0.86,0.09,0.03
267,Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,0.1,90,90,0,0,0,10,0,0,0,0,0,0,70,0,20,0,90,0,0,0,70,0,0,10,10
268,Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,20.4,40.8,32.8,8.04,0.49,0,3.87,0.44,1.57,0,0,0,0,22.6,8.87,9.31,28.1,3.28,1.42,7.55,0.05,31.1,0.1,1.03,0.88,1.62
269,Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,28.7,62.7,60.9,1.81,1.32,0.07,5.51,0.66,0.03,0,0,0,0,52.2,4.53,6.03,9.44,49.1,2.2,0.49,0.28,57.1,0.03,0.52,0.73,0.56
270,Jesse Lingard\Jesse-Lingard,MFFW,West Ham,15.8,42.3,38.5,3.8,0.89,0.13,6.84,0.7,1.46,0.76,0.32,0.25,0,31.5,4.94,5.89,3.67,37.1,0.63,0.63,0.32,34.4,0.25,0.51,2.09,1.01
271,Jake Livermore\Jake-Livermore,MF,West Brom,13.8,27.6,27.3,0.29,0.14,0.07,4.42,0.29,0.29,0,0,0,0,18.2,3.26,6.16,2.1,22.8,1.67,0,0,20.5,0.07,0.43,0.58,0.72
272,Diego Llorente\Diego-Llorente,DF,Leeds United,13.4,49.6,47.9,1.72,1.72,0.15,4.93,1.34,0.15,0,0,0,0,39,4.1,6.49,10.1,37.6,1.19,0,0.07,42.4,0.07,0.45,1.42,0.9
273,Hugo Lloris\Hugo-Lloris,GK,Tottenham,38,28.1,18,10.1,3,0,1.37,0.45,0,0,0,0,0,13.8,1.37,12.9,16.7,5.11,0.03,0,4.16,20.1,0.03,0.32,0.29,0
274,Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,10.5,56.1,51,5.14,2.1,0.19,10.3,1.52,0.29,2.48,1.81,0.1,0.57,39.8,7.05,9.24,49.4,4.38,0.76,0.1,0.57,44.3,0.19,0.38,2.1,1.62
275,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,21.2,33.8,33.2,0.61,0.19,0.05,6.6,0.33,0.61,0,0,0,0,26.9,3.54,3.35,3.49,26.8,1.56,0.14,0.19,28.1,0.09,0.57,0.75,1.13
276,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,0.7,22.9,22.9,0,0,0,4.29,0,0,0,0,0,0,17.1,2.86,2.86,0,20,1.43,0,0,15.7,0,0,0,2.86
277,Kevin Long\Kevin-Long,DF,Burnley,7.1,35.9,35.4,0.56,0.42,0,4.93,1.69,0.14,0,0,0,0,20.4,2.68,12.8,1.97,26.6,4.93,0.14,0,25.5,0,1.13,0.28,0.7
278,Shane Long\Shane-Long,FWMF,Southampton,2.3,25.7,24.8,0.87,0,0,9.13,0,0,0,0,0,0,11.3,7.39,6.96,0.43,14.3,4.35,0,0.87,16.5,0.43,0,0.43,2.17
279,Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,4.2,35.2,34.3,0.95,0.24,0,6.9,0.48,0.71,0.48,0.24,0.24,0,21.2,6.43,7.62,3.57,29.3,0.95,0.24,0,27.9,0.48,1.19,0.24,0.95
280,Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,15.7,36.4,33.7,2.74,0.96,0.06,5.86,2.74,0.45,1.27,0.51,0.38,0.25,23.7,5.29,7.45,7.01,26.3,2.1,0.19,0.13,28.8,0.13,0.83,1.21,0.7
281,Ademola Lookman\Ademola-Lookman,FWMF,Fulham,30.5,38.3,33.2,5.05,1.18,0.16,5.31,1.38,2.1,2.79,1.25,0.92,0.2,29.6,3.34,5.38,6.43,30.9,0.36,0.43,0.13,28.9,0.1,0.52,1.25,1.57
282,Max Lowe\Max-Lowe,DF,Sheffield Utd,6.1,36.6,31.6,4.92,0.33,0,5.08,1.15,2.79,0.33,0,0.33,0,22.1,6.72,7.7,27.7,2.46,1.48,4.26,0,23.8,0.33,0.82,1.97,2.13
283,Matthew Lowton\Matthew-Lowton,DF,Burnley,34,44.1,35.6,8.44,0.76,0.06,4.56,1.56,1.68,0,0,0,0,19.4,8.82,15.9,3.12,29.9,2.71,7.68,0.12,30.3,0.18,1.24,0.94,0.97
284,David Luiz\David-Luiz,DF,Arsenal,15.5,62.3,60.1,2.13,2,0.13,5.87,1.74,0.45,0,0,0,0,45.7,5.55,11,10.1,48.6,2.32,0.13,0.39,52.1,0.19,1.23,0.9,1.03
285,Douglas Luiz\Douglas-Luiz,MF,Aston Villa,30.9,46.3,43.7,2.65,2.36,0,7.09,1.65,0.42,0.03,0,0,0,31.2,6.02,9.13,4.66,37.1,3.01,0.03,0.49,39.3,0.16,0.68,0.94,0.94
286,John Lundstram\John-Lundstram,MF,Sheffield Utd,22.6,46.1,43.1,2.92,0.66,0.04,6.02,2.17,1.37,1.11,0.75,0.27,0.09,32.7,5.18,8.23,12.2,31.9,0.75,0.35,0.22,37.3,0.18,0.66,0.88,1.15
287,Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,12.4,32.8,31.9,0.89,0.4,0.24,5.4,0.73,0.56,0.08,0,0,0,25.1,4.68,3.06,3.55,27.3,1.05,0,0.16,26,0.32,0.4,0.81,1.61
288,James Maddison\James-Maddison,MFFW,Leicester City,23.3,47.9,41.5,6.35,2.49,0.26,7.12,1.8,1.72,3.3,0.69,1.46,0.17,32.8,6.14,8.97,4.89,41.7,1.03,0,0.13,37,0.17,0.43,1.33,1.72
289,Harry Maguire\Harry-Maguire,DF,Manchester Utd,33.9,63.1,61.2,1.89,1.56,0.03,6.7,2.15,0.12,0,0,0,0,48,4.87,10.2,8.67,48.5,3.3,0.32,0.32,56.2,0.21,0.83,0.94,0.32
290,Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,21.7,50,47,3.04,0.51,0.37,7.33,1.29,2.76,1.89,0.97,0,0.09,38.6,4.7,6.77,44.8,3.36,0.6,0.46,0.09,42.1,0.05,0.6,0.65,1.29
291,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,13.7,29.3,28.2,1.17,0.07,0.15,5.77,0.51,0.88,0.15,0.07,0,0,20.5,4.53,4.31,3.87,22.2,2.26,0.22,0.29,22.4,0.07,0.51,1.39,1.31
292,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,5.4,53.3,46.9,6.48,0.74,0.19,5,1.67,0.74,0,0,0,0,37.6,9.44,6.3,9.26,36.3,1.3,5.74,0,41.9,0.19,1.3,1.48,1.67
293,Josh Maja\Josh-Maja,FWMF,Fulham,9,19.9,19.1,0.78,0,0,4.44,0.33,0,0,0,0,0,15.3,3,1.56,3.33,15.2,0.33,0.11,0.33,17.4,0,0.11,0.44,1
294,Sadio Mané\Sadio-Mane,FW,Liverpool,31.2,34.1,33.6,0.48,0.06,0.16,6.79,0.83,2.02,0.06,0,0,0,24.1,5.93,4.04,8.97,22.7,0.8,0.35,0.71,25.7,0.13,0.38,1.15,1.99
295,Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,9.2,43.5,34.1,9.35,0.76,0,5,0.98,2.17,0,0,0,0,23,9.78,10.7,2.07,29.8,1.63,8.59,0.22,32.2,0,0.76,0.76,1.85
296,Fernando Marçal\Fernando-Marcal,DF,Wolves,6.9,53.6,43.8,9.86,0.87,0.14,6.96,0.58,1.45,0,0,0,0,29.3,12.3,12,36.1,5.65,2.03,8.99,0,44.3,0.29,0.58,0.87,1.16
297,Solly March\Solly-March,DF,Brighton,18.6,52.4,41.9,10.5,1.13,0,6.67,2.53,3.82,2.1,0.75,1.02,0,26.9,9.52,16,39.4,3.17,1.67,7.26,0.22,36.6,0.27,0.7,1.08,2.69
298,Pablo Marí\Pablo-Mari,DF,Arsenal,10,59.2,58.5,0.7,0.4,0,4.5,1,0,0,0,0,0,48.9,3.6,6.7,48,7.1,2.3,0.3,0.1,53.7,0,0.8,0.7,0.2
299,Anthony Martial\Anthony-Martial,FW,Manchester Utd,16.4,29.8,29.1,0.67,0.12,0.18,6.34,0.18,0.73,0,0,0,0,25.5,2.62,1.59,3.9,24.4,0.67,0.06,0.18,24.6,0.12,0.49,1.16,1.28
300,Martinelli\Martinelli,FW,Arsenal,6.5,24.5,23.8,0.62,0,0,2.92,0.15,2.15,0,0,0,0,18.3,3.23,2.92,4.46,18,0.92,0.46,0,19.4,0.31,0.15,0.62,0.62
301,Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,38,34.1,24,10.1,3.42,0,3.34,1.29,0,0,0,0,0,13.5,1.42,19.2,3.47,22.9,0,0,4.29,22.3,0.18,1.29,0.16,0.08
302,Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,11.2,49.3,45.4,3.93,0,0,8.57,1.61,2.95,0,0,0,0,36.2,5.98,7.14,41.6,1.52,1.34,3.93,0.09,39.5,0.27,1.25,1.07,2.05
303,Juan Mata\Juan-Mata,FWMF,Manchester Utd,5.7,51.6,48.8,2.81,1.05,0.18,8.42,1.23,1.23,1.23,0,1.23,0,42.5,2.98,6.14,43,7.54,0.35,0,0.53,43.3,0.18,0.18,2.11,0.88
304,Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,2.5,20.4,18.8,1.6,0,0,9.6,0,0.4,0,0,0,0,12.8,4.8,2.8,2.4,10.8,2.4,0,0.4,12.4,0.4,0.4,0.8,1.2
305,Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,12.3,79.3,76.5,2.76,2.52,0.08,10.7,2.68,0.49,0,0,0,0,66.4,5.37,7.48,66.6,10.1,1.54,0.24,0,71.7,0.24,0.33,1.54,0.89
306,Joël Matip\Joel-Matip,DF,Liverpool,7.7,68.4,67.3,1.17,1.17,0.13,5.32,0.91,0,0,0,0,0,53.4,6.49,8.57,9.48,54,2.99,0,0,60.5,0,0.52,1.04,0.65
307,Neal Maupay\Neal-Maupay,FWMF,Brighton,27.9,23.5,21.5,2.04,0.22,0.07,6.02,0.5,0.39,0,0,0,0,17.8,3.12,2.58,4.41,16.7,0.72,0.25,0.61,18.2,0.04,0.36,1.22,0.86
308,James McArthur\James-McArthur,MF,Crystal Palace,16.3,47.2,44.6,2.58,1.04,0,8.59,0.92,0.43,0,0,0,0,32.1,6.2,8.9,12.1,30.9,2.45,0.49,0.18,38.5,0.18,0.92,1.41,1.35
309,Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,14.7,29,28.3,0.68,0.07,0.2,12.1,0.07,0.2,0,0,0,0,13.7,7.28,7.96,1.56,15.4,3.74,0,0.54,18.2,0.14,0.61,0.82,1.36
310,Alex McCarthy\Alex-McCarthy,GK,Southampton,30,35.6,26.6,9.03,3.33,0,4.57,1.13,0,0,0,0,0,16.8,1.2,17.7,5.1,24.7,0.1,0,4.2,22.9,0.27,1.07,0.23,0.07
311,James McCarthy\James-McCarthy,MF,Crystal Palace,9.1,36.2,34.6,1.54,0.88,0,5.71,1.65,0.55,0.66,0.44,0.11,0.11,20.7,5.38,10.1,9.78,23.5,1.98,0,0.11,27.9,0,0.88,0.77,1.32
312,John McGinn\John-McGinn,MF,Aston Villa,37,37.8,35.8,1.95,1,0.22,6.81,2.32,0.81,0.27,0.05,0.14,0,24.4,4.46,8.97,28.9,6.76,1.24,0.16,0.05,29.2,0.38,0.73,1.46,0.89
313,David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,26.6,35.3,34.2,1.17,0.11,0.04,8.27,0.75,0.9,0,0,0,0,25.3,4.92,5.11,3.31,27,1.58,0.49,0.19,26.3,0.15,0.56,0.94,1.2
314,Dwight McNeil\Dwight-McNeil,MF,Burnley,34.1,39.2,34.3,4.87,2.17,0.15,7.3,3.2,3.34,2.17,1.88,0.15,0.06,24,4.16,11,35.5,1.61,1,0.53,0.06,27,0.23,1,0.79,1.99
315,Scott McTominay\Scott-McTominay,MF,Manchester Utd,23.7,53.6,51.8,1.77,1.35,0,7.13,1.86,0.38,0.08,0.08,0,0,43.8,3.63,6.2,4.43,45.5,2.15,0.34,0.13,46.8,0.04,0.59,0.93,1.01
316,Ben Mee\Ben-Mee,DF,Burnley,29.9,34.9,33.6,1.27,1.14,0,5.89,0.97,0.03,0,0,0,0,18.7,4.18,12.1,25.4,3.71,3.44,0.13,0.17,26.2,0.07,0.8,0.47,0.37
