,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
104,Aaron Connolly\Aaron-Connolly,FW,Brighton,8.8,0.8,0.57,0.23,0.45,0.11,0.11,0.57,20,0.45,14.1,4.55,32.3,0.8,6.59,6.7,1.02,0.11,0,0.91,0,0.8,0.11,0
105,Liam Cooper\Liam-Cooper,DF,Leeds United,24.3,3.13,1.93,1.98,1.11,0.04,1.4,2.39,58.6,0.99,12,4.73,39.5,7.45,4.2,0.33,1.85,1.28,0,0.58,2.18,5.31,5.06,0.04
106,Theo Corbeanu\Theo-Corbeanu,FW,Wolves,0.1,10,0,0,10,0,0,10,0,10,40,10,25,10,20,10,0,0,0,0,10,20,0,0
107,Jack Cork\Jack-Cork,MF,Burnley,15,1.67,1.07,0.4,1,0.27,0.6,1.8,33.3,1.2,15.6,4.73,30.3,3.87,8.07,3.67,1.33,0.4,0,0.93,1,2.67,1.6,0
108,Hélder Costa\Helder-Costa,MFFW,Leeds United,12.8,2.34,1.17,1.09,0.55,0.7,0.7,2.5,28.1,1.8,20.7,5.63,27.2,7.27,7.97,5.47,1.48,0,0,1.48,0.47,2.81,0.7,0
109,Vladimír Coufal\Vladimir-Coufal,DF,West Ham,33.9,2.27,1.21,1.68,0.5,0.09,1.3,2.74,47.3,1.45,13.5,3.72,27.6,7.29,4.13,2.06,2.18,0.15,0,2.04,1.15,3.42,3.6,0.03
110,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,35.2,0.88,0.37,0.43,0.4,0.06,0.4,0.97,41.2,0.57,6.53,1.9,29.1,3.47,2.56,0.51,1.36,0.4,0,0.97,1.02,1.9,2.78,0
111,Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,0.3,0,0,0,0,0,0,0,,0,23.3,6.67,28.6,6.67,3.33,13.3,0,0,0,0,0,0,0,0
112,Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,37.9,2.08,1.37,1.21,0.74,0.13,0.77,2.64,29,1.87,15.5,5.01,32.4,5.88,7.36,2.24,1.45,0.08,0,1.37,1.56,3.64,1.45,0.03
113,Scott Dann\Scott-Dann,DF,Crystal Palace,15,0.67,0.47,0.6,0.07,0,0.2,0.8,25,0.6,4.13,1.13,27.4,2.73,1.33,0.07,1.73,1.07,0,0.67,0.53,1.2,5,0.07
114,Karl Darlow\Karl-Darlow,GK,Newcastle Utd,25,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0,0.08,0,0,0,0,0,0,0.04,0.04,0.08,0
115,Ben Davies\Ben-Davies,DF,Tottenham,15,1.73,0.87,0.93,0.53,0.27,0.67,1.93,34.5,1.27,12.3,2.8,22.8,6.07,4.27,1.93,1.6,0.33,0,1.27,0.87,2.6,4.8,0
116,Tom Davies\Tom-Davies,MF,Everton,15.8,2.09,1.77,1.33,0.7,0.06,0.63,2.53,25,1.9,17.2,5.76,33.5,7.28,7.78,2.15,1.33,0.51,0,0.82,2.15,4.24,1.9,0.06
117,Keinan Davis\Keinan-Davis,FWMF,Aston Villa,3.1,0.97,0.97,0.32,0.32,0.32,0,0.32,0,0.32,20.3,5.16,25.4,1.29,10.6,8.39,0.65,0.32,0,0.32,0,0.97,0.65,0
118,Leif Davis\Leif-Davis,DF,Leeds United,0.4,0,0,0,0,0,0,5,0,5,30,0,0,12.5,15,2.5,7.5,2.5,0,5,5,5,0,0
119,Craig Dawson\Craig-Dawson,DF,West Ham,21.4,0.61,0.51,0.61,0,0,0.14,0.56,25,0.42,6.78,2.1,31,4.49,2.15,0.14,1.5,1.17,0.05,0.33,1.82,2.43,6.21,0.05
120,Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,22.2,1.67,1.4,0.36,0.86,0.45,0.45,2.34,19.2,1.89,16.9,5.5,32.4,2.07,7.88,6.98,1.22,0.09,0,1.13,0.72,2.39,0.32,0
121,Liam Delap\Liam-Delap,FW,Manchester City,0.4,0,0,0,0,0,0,0,,0,15,2.5,16.7,0,12.5,2.5,0,0,0,0,0,0,0,0
122,Fabian Delph\Fabian-Delph,MFDF,Everton,3,1.67,0.67,1,0.67,0,0.33,0.67,50,0.33,10,2,20,4,6,0,1.33,0,0,1.33,1.33,3,1,0
123,Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,27.8,1.76,1.04,1.12,0.54,0.11,0.83,2.19,37.7,1.37,17.8,5.36,30.2,8.02,8.06,1.69,2.12,0.54,0,1.58,0.97,2.73,2.7,0
124,Mbaye Diagne\Mbaye-Diagne,FW,West Brom,13.2,0.61,0.3,0.23,0.15,0.23,0.08,0.3,25,0.23,10.5,3.03,29,0.98,3.33,6.14,0.53,0.08,0,0.45,0.15,0.76,1.29,0
125,Amad Diallo\Amad-Diallo,FW,Manchester Utd,1.8,1.67,1.67,0.56,1.11,0,0,0,,0,27.8,7.78,28,7.22,11.7,8.89,1.11,0.56,0,0.56,1.67,3.33,1.67,0
126,Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,11.3,2.65,2.21,1.24,1.24,0.18,0.8,2.04,39.1,1.24,21.4,7.26,33.9,7.17,12.7,1.5,1.24,0.09,0,1.15,1.42,4.07,1.42,0
127,Grady Diangana\Grady-Diangana,MFFW,West Brom,13.7,2.55,1.39,1.61,0.36,0.58,1.02,2.63,38.9,1.61,22.6,4.89,21.7,10.4,7.01,5.18,2.19,0.15,0,2.04,1.02,3.58,0.36,0.07
128,Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,26.2,1.45,0.73,0.57,0.53,0.34,0.5,2.1,23.6,1.6,15.3,3.74,24.4,4.24,6.11,5,1.49,0.04,0,1.45,1.18,2.63,1.26,0
129,Rúben Dias\Ruben-Dias,DF,Manchester City,31.6,0.98,0.66,0.54,0.38,0.06,0.19,0.73,26.1,0.54,5.73,2.12,37,2.91,2.22,0.6,1.42,0.79,0,0.63,0.7,1.68,3.73,0
130,Eric Dier\Eric-Dier,DF,Tottenham,28,0.86,0.54,0.46,0.36,0.04,0.43,0.79,54.5,0.36,5.93,1.71,28.9,3.79,1.86,0.29,1.79,1.21,0,0.57,0.82,1.68,6.04,0
131,Lucas Digne\Lucas-Digne,DF,Everton,29.8,2.62,1.34,1.78,0.47,0.37,0.97,1.68,58,0.7,13.8,3.56,25.7,6.54,4.73,2.55,1.98,0.13,0,1.85,0.87,3.49,3.22,0
132,Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,4.1,0.73,0.24,0.24,0.49,0,0,0.24,0,0.24,3.41,0.73,21.4,1.71,1.71,0,0.73,0.49,0,0.24,0,0.73,2.93,0.24
133,Issa Diop\Issa-Diop,DF,West Ham,15.3,1.7,1.24,0.92,0.78,0,0.39,1.18,33.3,0.78,7.39,2.68,36.3,3.99,3.14,0.26,2.29,1.57,0.07,0.72,0.92,2.61,5.36,0.13
134,Moussa Djenepo\Moussa-Djenepo,MF,Southampton,13.8,3.33,1.59,1.81,0.8,0.72,1.3,3.84,34,2.54,24.1,6.88,28.6,8.84,8.99,6.23,1.96,0.07,0,1.88,0.8,4.13,1.16,0
135,Matt Doherty\Matt-Doherty,DF,Tottenham,13.8,1.67,0.58,0.72,0.58,0.36,0.8,2.46,32.4,1.67,13.5,2.75,20.4,5.8,5.07,2.61,2.97,0.36,0,2.61,1.3,2.97,3.91,0
136,Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,22.2,1.26,0.77,0.99,0.23,0.05,0.41,0.77,52.9,0.36,6.8,2.48,36.4,4.28,2.21,0.32,1.85,1.04,0,0.81,1.04,2.3,4.77,0.09
137,Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,27.1,2.07,1.55,1.11,0.7,0.26,0.63,1.66,37.8,1.03,20.1,5.83,29,8.41,8.08,3.58,1.59,0.33,0,1.25,1.29,3.36,1.07,0.04
138,Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,13,0,0,0,0,0,0,0,,0,0.15,0.15,100,0.15,0,0,0,0,0,0,0,0,0,0
139,Paul Dummett\Paul-Dummett,DF,Newcastle Utd,13.9,1.51,0.79,0.94,0.5,0.07,0.72,1.44,50,0.72,8.56,2.01,23.5,5.83,2.3,0.43,2.16,0.72,0,1.44,1.22,2.73,6.83,0.07
140,Lewis Dunk\Lewis-Dunk,DF,Brighton,32.6,1.04,0.58,0.67,0.31,0.06,0.37,0.71,52.2,0.34,5.77,2.15,37.2,3.04,2.33,0.4,1.23,0.74,0.03,0.49,0.89,1.93,3.87,0.06
141,Jimmy Dunne\Jimmy-Dunne,DF,Burnley,3,1.33,0.67,1,0.33,0,0.67,0.67,100,0,8,3.67,45.8,5.33,2.33,0.33,2.33,1.33,0,1,1,2.33,6.33,0
142,Ederson\Ederson,GK,Manchester City,36,0,0,0,0,0,0,0.03,0,0.03,0.14,0.03,20,0.14,0,0,0,0,0,0,0,0,0.06,0.03
143,Kyle Edwards\Kyle-Edwards,MFFW,West Brom,1.3,2.31,0,0.77,0.77,0.77,0,0.77,0,0.77,11.5,1.54,13.3,3.08,6.92,1.54,1.54,0,0,1.54,0.77,3.08,0,0
144,John Egan\John-Egan,DF,Sheffield Utd,29.2,1.61,1.03,1.16,0.41,0.03,0.58,1.16,50,0.58,8.46,2.77,32.8,5.31,2.98,0.17,1.92,1.13,0.03,0.79,1.4,3.01,5.48,0.03
145,Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,1.7,2.35,0.59,1.76,0.59,0,1.76,3.53,50,1.76,28.8,6.47,22.4,10.6,12.9,5.29,1.18,0.59,0,0.59,0.59,2.94,0.59,0
146,Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,9.3,1.94,1.4,1.08,0.43,0.43,0.65,1.08,60,0.43,7.96,3.01,37.8,4.19,2.8,0.97,1.61,0.43,0,1.18,2.9,4.84,3.44,0
147,Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,17.2,0.93,0.64,0.52,0.41,0,0.29,1.1,26.3,0.81,11.5,3.31,28.9,4.13,5.29,2.03,1.05,0.23,0,0.81,1.16,2.09,1.4,0.06
148,Jonny Evans\Jonny-Evans,DF,Leicester City,27.5,0.76,0.44,0.62,0.11,0.04,0.36,0.76,47.6,0.4,6.11,2.4,39.3,4.07,1.93,0.11,0.98,0.22,0,0.76,1.49,2.25,5.31,0
149,Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,28.4,1.34,0.77,0.63,0.49,0.21,0.49,1.27,38.9,0.77,11.2,3.2,28.5,3.13,5.7,2.39,1.13,0.11,0,1.02,1.02,2.36,0.21,0
150,Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,35,0,0,0,0,0,0,0,,0,0.31,0.06,18.2,0.31,0,0,0.09,0,0,0.09,0,0,0.03,0.03
151,Fabinho\Fabinho,DFMF,Liverpool,28.5,2.53,1.79,0.88,1.4,0.25,0.88,1.96,44.6,1.09,12.3,4.04,32.8,4.21,7.02,1.09,1.44,0.42,0,1.02,1.72,4.25,3.72,0
152,Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,34.4,1.74,1.13,0.61,0.73,0.41,0.52,2.65,19.8,2.12,20.9,5.2,24.9,3.4,10,7.47,1.16,0.03,0,1.13,0.64,2.38,0.78,0
153,Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,23.1,1.52,0.74,1.13,0.3,0.09,0.61,1.08,56,0.48,7.92,2.21,27.9,5.58,2.03,0.3,2.21,1.39,0,0.82,0.74,2.25,7.19,0.04
154,Fernandinho\Fernandinho,MF,Manchester City,13.2,2.35,1.67,0.45,1.29,0.61,0.91,2.88,31.6,1.97,16.9,5.68,33.6,3.56,10.8,2.58,1.14,0.08,0,1.06,1.97,4.32,2.42,0
155,Sam Field\Sam-Field,MF,West Brom,0.7,12.9,10,5.71,7.14,0,2.86,4.29,66.7,1.43,31.4,14.3,45.5,11.4,18.6,1.43,8.57,1.43,0,7.14,0,12.9,5.71,0
156,Roberto Firmino\Roberto-Firmino,FW,Liverpool,31.5,1.11,0.7,0.13,0.44,0.54,0.38,1.21,31.6,0.83,18.9,5.56,29.4,2.32,8.86,7.75,1.84,0.16,0,1.68,0.32,1.43,0.35,0
157,John Fleck\John-Fleck,MF,Sheffield Utd,28.6,1.61,0.94,0.91,0.56,0.14,0.56,2.41,23.2,1.85,17.7,4.44,25.1,6.22,8.6,2.87,1.29,0.17,0,1.12,1.36,2.97,0.63,0.03
158,Phil Foden\Phil-Foden,FWMF,Manchester City,18,1.44,0.89,0.56,0.61,0.28,0.56,1.17,47.6,0.61,17.1,4.89,28.7,2.83,6.5,7.72,0.83,0.06,0,0.78,0.67,2.11,0.67,0
159,Wesley Fofana\Wesley-Fofana,DF,Leicester City,25.1,2.51,1.63,1.51,0.96,0.04,0.72,1.39,51.4,0.68,9.88,3.31,33.5,5.54,4.02,0.32,1.87,0.84,0,1.04,2.03,4.54,4.98,0
160,Pablo Fornals\Pablo-Fornals,FWMF,West Ham,28.6,1.54,1.01,0.56,0.73,0.24,0.24,2.87,8.5,2.62,20.2,4.2,20.8,6.19,9.55,4.44,1.85,0.03,0,1.82,1.15,2.69,0.31,0.03
161,Fraser Forster\Fraser-Forster,GK,Southampton,8,0,0,0,0,0,0,0.13,0,0.13,0.38,0.13,33.3,0.38,0,0,0,0,0,0,0,0,0.5,0
162,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,0.9,3.33,1.11,2.22,1.11,0,1.11,1.11,100,0,7.78,2.22,28.6,3.33,4.44,0,1.11,0,0,1.11,1.11,4.44,1.11,0
163,Tyrese Francois\Tyrese-Francois,DF,Fulham,0.2,0,0,0,0,0,0,0,,0,10,5,50,10,0,0,5,0,0,5,0,0,0,0
164,Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,10.3,0.39,0.1,0.29,0.1,0,0,0.19,0,0.19,11.1,1.84,16.7,1.75,4.95,4.37,0.78,0,0,0.78,0.29,0.68,0.29,0
165,Fred\Fred,MF,Manchester Utd,26.6,3.31,2.07,1.39,1.54,0.38,1.13,3.27,34.5,2.14,24,7.52,31.3,8.57,11.3,4.17,2.33,0.34,0,1.99,1.77,5.08,1.24,0
166,Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,6.3,2.06,0.95,1.11,0.95,0,0.95,2.06,46.2,1.11,10.3,2.06,20,6.03,2.22,2.06,2.54,0.32,0,2.22,1.27,3.33,3.49,0
167,Christian Fuchs\Christian-Fuchs,DF,Leicester City,7.8,1.92,1.15,1.67,0.13,0.13,0.64,1.79,35.7,1.15,11.2,2.95,26.4,6.79,3.46,0.9,2.05,0.51,0.13,1.54,1.54,3.46,3.97,0
168,Darnell Furlong\Darnell-Furlong,DF,West Brom,32.6,1.5,0.52,0.89,0.46,0.15,0.58,1.26,46.3,0.67,8.9,2.55,28.6,4.02,3.22,1.66,2.45,0.49,0.03,1.96,0.86,2.36,3.68,0.03
169,Conor Gallagher\Conor-Gallagher,MF,West Brom,28.1,2.92,1.89,1.1,1.42,0.39,0.78,3.45,22.7,2.67,25.2,6.41,25.4,8.26,12.3,4.7,2.24,0.28,0,1.96,1.39,4.31,1.07,0.04
170,Eric García\Eric-Garcia,DF,Manchester City,4.3,2.33,0.93,1.63,0.47,0.23,0.7,2.33,30,1.63,11.4,3.02,26.5,6.98,4.19,0.23,1.16,0.23,0,0.93,1.16,3.49,2.79,0
171,Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,5.7,1.05,0.7,0.35,0.7,0,0.18,0.88,20,0.7,15.8,3.86,24.4,2.28,6.32,7.19,0.53,0.35,0,0.18,0.18,1.23,0,0
172,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,0.1,10,10,0,10,0,0,10,0,10,40,20,50,0,10,30,10,0,0,10,0,10,10,0
173,David de Gea\David-de-Gea,GK,Manchester Utd,25.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.04,0
174,Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,17.9,0.89,0.56,0.45,0.28,0.17,0.22,1.01,22.2,0.78,12.2,2.91,23.9,3.35,4.58,4.25,0.61,0,0,0.61,0.56,1.45,0.67,0
175,Kieran Gibbs\Kieran-Gibbs,DF,West Brom,9,1.56,0.67,1,0.33,0.22,0.33,0.78,42.9,0.44,8.89,2.22,25,4.67,3.33,0.89,1.89,0.67,0,1.22,1.56,3.11,3.67,0
176,Morgan Gibbs-White\Morgan-Gibbs-White,FWMF,Wolves,4.6,1.52,1.3,0.43,0.65,0.43,0.65,2.39,27.3,1.74,23.7,8.04,33.9,4.57,10.4,8.7,1.3,0,0,1.3,0.87,2.39,0.22,0
177,Billy Gilmour\Billy-Gilmour,MF,Chelsea,2.9,1.03,0.34,0.34,0.69,0,0.34,2.07,16.7,1.72,23.4,6.21,26.5,8.28,11.7,3.45,1.72,0.69,0,1.03,1.72,2.76,0.34,0
178,Olivier Giroud\Olivier-Giroud,FW,Chelsea,8.3,0.96,0.48,0,0.6,0.36,0,0.36,0,0.36,15.9,4.22,26.5,1.81,6.14,7.95,0.36,0.12,0,0.24,0.48,1.45,1.2,0
179,Ben Godfrey\Ben-Godfrey,DF,Everton,29.8,1.88,0.97,1.34,0.47,0.07,0.84,1.31,64.1,0.47,12.4,3.86,31.1,7.95,3.69,0.77,2.85,1.31,0.03,1.54,1.51,3.39,4.53,0
180,André Gomes\Andre-Gomes,MF,Everton,17.4,2.76,1.95,1.26,1.32,0.17,1.09,3.33,32.8,2.24,21.2,6.84,32.2,7.13,10.7,3.39,1.72,0.06,0,1.67,0.86,3.62,0.52,0
181,Joe Gomez\Joe-Gomez,DF,Liverpool,6.6,0.76,0.3,0.3,0.45,0,0,0.61,0,0.61,5.91,2.27,38.5,3.64,1.97,0.3,1.06,0.45,0,0.61,0.76,1.52,4.85,0.3
182,Anthony Gordon\Anthony-Gordon,FWMF,Everton,1,3,2,3,0,0,0,2,0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0
183,Karlan Grant\Karlan-Grant,FWMF,West Brom,12.5,0.48,0.24,0.24,0.24,0,0.24,0.48,50,0.24,13.4,3.28,24.6,1.92,5.12,6.32,0.56,0,0,0.56,0.88,1.36,1.04,0
184,Demarai Gray\Demarai-Gray,FW,Leicester City,0.2,10,5,10,0,0,0,0,,0,15,5,33.3,10,0,5,0,0,0,0,0,10,0,0
185,Jack Grealish\Jack-Grealish,FWMF,Aston Villa,24.3,1.11,0.78,0.25,0.62,0.25,0.16,0.74,22.2,0.58,13,4.12,31.6,3.5,4.73,4.77,1.07,0.12,0,0.95,0.53,1.65,0.25,0.04
186,Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,20.2,0.94,0.59,0.4,0.3,0.25,0.2,1.14,17.4,0.94,13,3.66,28.1,2.62,5.69,4.7,0.35,0,0,0.35,0.45,1.39,0.15,0
187,Pascal Groß\Pascal-Gross,MFDF,Brighton,27.6,1.59,0.87,0.87,0.54,0.18,0.69,1.7,40.4,1.01,15.6,4.06,26,5.11,6.85,3.62,1.2,0.18,0,1.01,0.91,2.5,0.87,0
188,Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,1.6,0.63,0,0.63,0,0,0.63,3.75,16.7,3.13,13.8,1.88,13.6,6.88,5,1.88,0.63,0,0,0.63,0,0.63,1.25,0
189,Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,37,0,0,0,0,0,0,0.03,0,0.03,0.11,0.03,25,0.11,0,0,0,0,0,0,0,0,0.03,0
190,İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,22.5,1.11,0.8,0.4,0.44,0.27,0.36,1.64,21.6,1.29,9.56,2.89,30.2,2.04,4.53,2.98,0.67,0.18,0,0.49,0.84,1.96,0.62,0
191,Antwoine Hackford\Antwoine-Hackford,DFFW,Sheffield Utd,0.1,0,0,0,0,0,0,0,,0,30,20,66.7,0,0,30,10,0,0,10,0,0,0,0
192,Sébastien Haller\Sebastien-Haller,FW,West Ham,10.4,1.06,0.38,0.1,0.48,0.48,0.38,1.73,22.2,1.35,19.1,4.04,21.1,1.15,11.1,6.92,0.38,0.1,0,0.29,0.48,1.54,0.67,0
193,Rekeem Harper\Rekeem-Harper,MF,West Brom,0.4,5,2.5,2.5,2.5,0,2.5,2.5,100,0,25,0,0,5,17.5,2.5,0,0,0,0,0,5,0,0
194,Jack Harrison\Jack-Harrison,MF,Leeds United,31.6,2.12,1.11,0.92,0.79,0.41,0.6,1.61,37.3,1.01,20,5.54,27.7,5.28,7.15,7.53,1.23,0.09,0,1.14,0.79,2.91,0.82,0
195,Kortney Hause\Kortney-Hause,DF,Aston Villa,7,0.71,0.57,0.43,0.29,0,0,0.14,0,0.14,5.57,2,35.9,3.43,2,0.14,0.86,0.57,0,0.29,1.71,2.43,9.29,0
196,Kai Havertz\Kai-Havertz,MFFW,Chelsea,16.9,1.12,0.65,0.3,0.65,0.18,0.24,1.36,17.4,1.12,15.4,3.49,22.6,2.31,7.51,5.62,1.6,0.12,0,1.48,0.65,1.78,0.89,0.06
197,Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,21.6,2.31,1.57,0.65,1.3,0.37,0.32,1.25,25.9,0.93,18.8,4.68,24.8,7.31,8.98,2.55,1.94,0.37,0,1.57,2.13,4.44,2.64,0.05
198,Michael Hector\Michael-Hector,DF,Fulham,2.9,2.41,1.72,1.38,1.03,0,1.03,2.41,42.9,1.38,9.66,3.79,39.3,7.24,2.41,0,2.07,1.03,0.34,1.03,0,2.41,3.79,0
199,Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,1,0,0,0,0,0,0,0,,0,10,4,40,8,2,0,2,0,0,2,0,0,11,0
200,Dean Henderson\Dean-Henderson,GK,Manchester Utd,12.5,0,0,0,0,0,0,0.08,0,0.08,0.32,0.08,25,0.32,0,0,0,0,0,0,0,0,0,0
201,Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,18.9,1.01,0.48,0.42,0.37,0.21,0.42,1.53,27.6,1.11,9.79,3.17,32.4,3.17,4.55,2.06,1.48,0.21,0.05,1.27,1.59,2.59,2.28,0.05
202,Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,15.8,0.38,0.25,0.19,0.19,0,0.13,0.89,14.3,0.76,10.9,3.04,27.7,2.59,6.58,1.77,1.52,0.57,0,0.95,0.76,1.14,1.77,0
203,Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,4.7,1.06,0.43,0.43,0.21,0.43,0.85,3.83,22.2,2.98,15.3,4.04,26.4,2.34,8.51,4.47,0.43,0,0,0.43,1.06,2.13,0.21,0
204,Son Heung-min\Son-Heung-min,FW,Tottenham,34.6,0.84,0.49,0.26,0.43,0.14,0.38,2.05,18.3,1.68,17.8,4.08,22.9,3.47,9.22,5.14,0.98,0.09,0,0.9,0.66,1.5,0.12,0
205,Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,6.4,2.81,1.56,2.34,0.31,0.16,1.25,2.97,42.1,1.72,20.8,4.53,21.8,12.5,6.72,1.56,1.09,0.16,0,0.94,1.56,4.38,2.97,0
206,Rob Holding\Rob-Holding,DF,Arsenal,28.4,1.37,0.74,0.92,0.28,0.18,0.32,0.95,33.3,0.63,10.4,3.13,30.1,6.06,3.8,0.56,1.9,1.09,0,0.81,0.81,2.18,5.53,0
207,Mason Holgate\Mason-Holgate,DF,Everton,25.4,2.56,1.5,1.5,0.79,0.28,0.87,2.17,40,1.3,12.4,3.82,30.7,6.38,4.53,1.54,2.17,0.51,0,1.65,1.61,4.17,4.33,0.12
208,Conor Hourihane\Conor-Hourihane,MF,Aston Villa,2.5,0,0,0,0,0,0,0.8,0,0.8,6.8,2.4,35.3,1.6,2.4,2.8,1.2,0,0,1.2,0,0,0.8,0
209,Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,11.8,2.03,1.02,0.93,0.59,0.51,0.59,1.53,38.9,0.93,13.6,4.58,33.8,3.14,6.02,4.41,1.53,0.08,0,1.44,0.85,2.88,0.68,0
