Player,Nation,Pos,Age,90s,Carries,CarriesTotDist,CarriesPrgDist,ProgCarries,CarriesFinalThird,CarriesPenaltyArea,MissedCarries,DispCarries,Prog
Ederson\3bb7b8b4,br BRA,GK,24,38,18,76,46.1,0,0,0,0,0,0.08
Aymeric Laporte\119b9a8e,es ESP,DF,24,34,71.4,428.8,305.1,12.4,2,0.06,0.12,0.06,7
Bernardo Silva\3eb22ec9,pt POR,MFFW,23,31.7,51.9,307.4,183.9,10.2,2.65,1.42,1.36,1.51,4.64
Raheem Sterling\b400bde0,eng ENG,FW,23,30.8,50,240.1,151.3,9.12,2.14,2.37,1.88,3.6,3.05
Sergio Agüero\4d034881,ar ARG,FW,30,27.3,31.4,164.5,88.6,5.05,1.98,1.32,2.67,2.42,2.31
Kyle Walker\86dd77d1,eng ENG,DF,28,30.9,70.1,339.5,171.6,6.41,2.78,0.39,0.65,0.61,5.02
David Silva\e2716bd0,es ESP,MF,32,26.7,66.6,315.9,164.3,9.74,3.37,1.46,1.01,1.05,7.08
Fernandinho\101da2b5,br BRA,MF,33,26.4,66.2,330.8,195.1,8.26,2.73,0.11,0.68,0.87,8.07
İlkay Gündoğan\819b3158,de GER,MF,27,23.7,74.3,359.7,204.3,10,3.76,0.17,0.63,0.51,6.96
Leroy Sané\2b114be3,de GER,FW,22,20.7,51.3,227.6,126.4,7.63,1.4,1.79,3.19,2.66,3.67
John Stones\5eecec3d,eng ENG,DF,24,19.6,73.7,471.7,266.5,8.62,1.38,0,0.05,0.15,4.44
Riyad Mahrez\892d5bb1,dz ALG,FWMF,27,14.9,58.9,378.2,200.7,11.5,2.89,2.68,1.41,1.81,4.77
Nicolás Otamendi\0d267745,ar ARG,DF,30,13.7,72.9,493.1,300.2,8.98,1.39,0,0.15,0,3.5
Oleksandr Zinchenko\51cf8561,ua UKR,DF,21,12.8,76.3,323.6,185.6,9.77,4.22,0,0.7,0.39,7.58
Vincent Kompany\d2bff301,be BEL,DF,32,13.6,71.5,387.9,221.5,5.96,1.1,0,0,0,4.49
Kevin De Bruyne\e46012d4,be BEL,MF,27,10.8,67,353.1,209.8,10.7,4.17,0.65,1.76,2.04,7.96
Benjamin Mendy\5271c8f1,fr FRA,DF,24,10,61.1,256.1,160.8,7.7,2.3,0.5,0.3,1.4,8.5
Danilo\94b2001f,br BRA,DF,27,9,76,298.3,164.7,9.11,3.22,0.44,0.89,0.78,6.22
Gabriel Jesus\b66315ae,br BRA,FW,21,11.5,35.4,157.7,84,5.04,1.57,1.39,3.48,1.65,2.09
Fabian Delph\111c3236,eng ENG,DF,28,8.1,74.8,295.4,150.6,7.41,2.47,0.12,0.74,0.12,5.93
Phil Foden\ed1e53f3,eng ENG,MF,18,3.7,56.2,324.9,173.5,10.5,3.51,1.35,0.81,1.08,4.86